id	locality	countryCode	establishmentMeans	threatStatus	appendixCITES	occurrenceRemarks
urn:lsid:catalogueoflife.org:taxon:4f20ed73-5e17-11e7-8cee-bc764e092680:col20170824	Antioquia | Boyacá | Caldas | Cauca | Cesar | Chocó | Córdoba | Cundinamarca | Huila | Meta | Nariño | Quindío | Risaralda | Santander | Tolima | Arauca | Caquetá | Norte de Santander | Putumayo | Valle del Cauca	CO		VU	I	Distribución en regiones naturales de Colombia y zonas de interés: Andina | Pacífica | Sierra Nevada de Santa Marta | Serranía de Perijá
urn:lsid:catalogueoflife.org:taxon:4f1384c6-5e17-11e7-8cee-bc764e092680:col20170824	Valle del Cauca	CO			I	Distribución en regiones naturales de Colombia y zonas de interés: Pacífica
urn:lsid:catalogueoflife.org:taxon:4f1387c8-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Antioquia | Atlántico | Bolívar | Chocó | Córdoba | La Guajira | Magdalena | Nariño | San Andrés y Providencia | Sucre | Valle del Cauca	CO		EN	I	Distribución en regiones naturales de Colombia y zonas de interés: Pacífica
urn:lsid:catalogueoflife.org:taxon:4f138647-5e17-11e7-8cee-bc764e092680:col20170824	Chocó | Córdoba | Magdalena | Valle del Cauca | Atlántico | Nariño	CO			I	Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Pacífica
urn:lsid:catalogueoflife.org:taxon:4f138ac8-5e17-11e7-8cee-bc764e092680:col20170824	Antioquia | Atlántico | Córdoba	CO		EN	I	Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Pacífica
urn:lsid:catalogueoflife.org:taxon:4f138944-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Córdoba | Valle del Cauca | Atlántico	CO		EN	I	Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Pacífica
urn:lsid:catalogueoflife.org:taxon:4f138c49-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Bolívar | Magdalena | Atlántico | Córdoba | Nariño | Valle del Cauca	CO		VU	I	Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Pacífica
urn:lsid:catalogueoflife.org:taxon:47809832-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Chocó | Nariño | Valle del Cauca	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Pacífica
urn:lsid:catalogueoflife.org:taxon:3b88da89-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Chocó | Nariño | Valle del Cauca	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Pacífica
urn:lsid:catalogueoflife.org:taxon:20e6026d-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Chocó | La Guajira | Magdalena | Nariño | San Andrés y Providencia | Valle del Cauca | Atlántico	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Caribe | Pacífica
