id	identifier	bibliographicCitation	title	creator	date	source
urn:lsid:catalogueoflife.org:taxon:49fdd48a-5e17-11e7-8cee-bc764e092680:col20170724	Caldasia 15:471-501	CUERVO DÍAZ A, JI HERNÁNDEZ-CAMACHO y A CADENA. 1986. Lista actualizada de los mamíferos de Colombia: anotaciones sobre su distribución. Caldasia 15:471-501.	Lista actualizada de los mamíferos de Colombia: anotaciones sobre su distribución	CUERVO DÍAZ A, JI HERNÁNDEZ-CAMACHO y A CADENA	1986	Caldasia 15:471-501
urn:lsid:organismnames.com:name:1707377	adusta (Thomas, 1897)	SOLARI S. 2007. New species of Monodelphis (Didelphimorphia: Didelphidae) from Peru, with notes on M. adusta (Thomas, 1897). Journal of Mammalogy 88:319-329.	New species of Monodelphis (Didelphimorphia: Didelphidae) from Peru, with notes on M. adusta (Thomas, 1897)	SOLARI S	2007	Journal of Mammalogy 88:319-329.
urn:lsid:catalogueoflife.org:taxon:477d52e9-5e17-11e7-8cee-bc764e092680:col20170724	Bulletin of the American Museum of Natural History 263:1-236	VOSS RS, DP LUNDE y NB SIMMONS. 2001. The Mammals of Paracou, French Guiana: a Neotropical lowland rainforest fauna. Part 2. Nonvolant species. Bulletin of the American Museum of Natural History 263:1-236.	The Mammals of Paracou, French Guiana: a Neotropical lowland rainforest fauna. Part 2. Nonvolant species	VOSS RS, DP LUNDE y NB SIMMONS	2001	Bulletin of the American Museum of Natural History 263:1-236
urn:lsid:catalogueoflife.org:taxon:477d2929-5e17-11e7-8cee-bc764e092680:col20170724	Bulletin of the American Museum of Natural History 244:1-306	PATTON JL, MNF DA SILVA y JR MALCOLM. 2000. Mammals of the Rio Juruá and the evolutionary and ecological diversification of Amazonia. Bulletin of the American Museum of Natural History 244:1-306. 1 RODRÍGUEZ-MAHECHA JV, JI HERNÁNDEZ-CAMACHO, TR DEFLER, M ALBERICO, RB MAST, RA MITTERMEIR y A CADENA. 1995. Mamíferos colombianos: sus nombres comunes e indígenas. Occasional Papers in Conservation Biology, Conservation International 3:1-56.	Mammals of the Rio Juruá and the evolutionary and ecological diversification of Amazonia	PATTON JL, MNF DA SILVA y JR MALCOLM	2000	Bulletin of the American Museum of Natural History 244:1-306
catalogueoflife.org/data/taxon/7KM2C	American Museum Novitates 3891:1-70.	Voss RS, Díaz-Nieto JF, Jansa SA. 2018. A revision of Philander (Marsupialia: Didelphidae), part 1: P. quica, P. canus, and a new species from Amazonia. American Museum Novitates 3891:1-70.	A revision of Philander (Marsupialia: Didelphidae), part 1: P. quica, P. canus, and a new species from Amazonia	Voss RS, JF Díaz-Nieto, SA Jansa	2018	American Museum Novitates 3891:1-70.
itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=709508#null	American Museum Novitates 3891:1-70.	Voss RS, Díaz-Nieto JF, Jansa SA. 2018. A revision of Philander (Marsupialia: Didelphidae), part 1: P. quica, P. canus, and a new species from Amazonia. American Museum Novitates 3891:1-70.	A revision of Philander (Marsupialia: Didelphidae), part 1: P. quica, P. canus, and a new species from Amazonia	Voss RS, JF Díaz-Nieto, SA Jansa	2018	American Museum Novitates 3891:1-70.
urn:lsid:catalogueoflife.org:taxon:2cc8e967-5e17-11e7-8cee-bc764e092680:col20170724	Proceedings of the Biological Society of Washington 116:853-872	WOODMAN N. 2003. A new small-eared shrew of the Cryptotis nigrescens-group from Colombia (Mammalia: Soricomorpha: Soricidae). Proceedings of the Biological Society of Washington 116:853-872.	A new small-eared shrew of the Cryptotis nigrescens-group from Colombia (Mammalia: Soricomorpha: Soricidae)	WOODMAN N	2003	Proceedings of the Biological Society of Washington 116:853-872
urn:lsid:catalogueoflife.org:taxon:2cc8e7ec-5e17-11e7-8cee-bc764e092680:col20170724	Journal of Mammalogy 84:832-839	WOODMAN N, CA CUARTAS-CALLE y CA DELGADO. 2003. The humerus of Cryptotis colombiana and its bearing on the phylogenetic relationships of the species (Soricomorpha: Soricidae). Journal of Mammalogy 84:832-839.	The humerus of Cryptotis colombiana and its bearing on the phylogenetic relationships of the species (Soricomorpha: Soricidae)	WOODMAN N, CA CUARTAS-CALLE y CA DELGADO	2003	Journal of Mammalogy 84:832-839
urn:lsid:catalogueoflife.org:taxon:2caab16e-5e17-11e7-8cee-bc764e092680:col20170724	Journal of Mammalogy 84:832-839	WOODMAN N, CA CUARTAS-CALLE y CA DELGADO. 2003. The humerus of Cryptotis colombiana and its bearing on the phylogenetic relationships of the species (Soricomorpha: Soricidae). Journal of Mammalogy 84:832-839.	The humerus of Cryptotis colombiana and its bearing on the phylogenetic relationships of the species (Soricomorpha: Soricidae)	WOODMAN N, CA CUARTAS-CALLE y CA DELGADO	2003	Journal of Mammalogy 84:832-839
gbif.org/species/10733462	Check List	Mejía Fontecha IY, D Velásquez Guarín, KD Pérez Tapie, PA Ossa Lopez, FA Rivera Paez, HE Ramírez-Chaves. 2021. First record of the Northern Ecuadorian Shrew, Cryptotis niausa Moreno Cárdenas & Albuja, 2014 (Eulipotyphla, Soricidae), in Colombia. Check List (in review)	First record of the Northern Ecuadorian Shrew, Cryptotis niausa Moreno Cárdenas & Albuja, 2014 (Eulipotyphla, Soricidae), in Colombia	Mejía Fontecha IY, D Velásquez Guarín, KD Pérez Tapie, PA Ossa Lopez, FA Rivera Paez, HE Ramírez-Chaves	2021	Check List (in review)
