id	isMarine	isFreshwater	isTerrestrial
urn:lsid:catalogueoflife.org:taxon:4a02c188-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1ce9e4-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:3b876cff-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
gbif.org/species/7456473	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1d172a-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1d18b0-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4a02c4a4-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1d2260-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1d23ef-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4a02c626-5e17-11e7-8cee-bc764e092680:col20170824	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4a034a5b-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1ad8c3-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
catalogueoflife.org/data/taxon/874KB	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1ada3f-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1add64-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
gbif.org/species/8110352	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:3b87dbba-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:2cab3911-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
